x=588, y=919
x=587, y=919
x=585, y=919
x=584, y=919
x=584, y=919
x=582, y=919
x=581, y=919
x=580, y=919
x=579, y=919
x=578, y=919
x=578, y=919
x=576, y=919
x=576, y=919
x=575, y=919
x=573, y=918
x=573, y=918
x=571, y=918
x=570, y=918
x=568, y=918
x=568, y=917
x=566, y=917
x=565, y=917
x=564, y=917
x=563, y=917
x=562, y=917
x=561, y=916
x=559, y=916
x=559, y=916
x=558, y=915
x=557, y=915
x=555, y=915
x=554, y=915
x=553, y=915
x=553, y=915
x=552, y=915
x=549, y=915
x=548, y=915
x=547, y=915
x=545, y=914
x=545, y=914
x=544, y=914
x=542, y=913
x=542, y=913
x=527, y=911
x=525, y=911
x=525, y=911
x=523, y=911
x=522, y=911
x=521, y=910
x=521, y=910
x=520, y=910
x=519, y=910
x=518, y=910
x=517, y=910
x=516, y=910
x=515, y=910
x=515, y=909
x=514, y=909
x=513, y=909
x=512, y=909
x=512, y=909
x=511, y=909
x=510, y=909
x=509, y=909
x=509, y=909
x=508, y=908
x=506, y=908
x=506, y=908
x=505, y=908
x=505, y=908
x=504, y=908
x=503, y=908
x=503, y=908
x=502, y=908
x=501, y=908
x=500, y=908
x=500, y=908
x=499, y=908
x=498, y=908
x=498, y=908
x=497, y=907
x=496, y=907
x=496, y=907
x=495, y=907
x=494, y=907
x=494, y=907
x=493, y=907
x=492, y=907
x=492, y=907
x=491, y=907
x=491, y=907
x=490, y=907
x=490, y=907
x=489, y=907
x=488, y=907
x=488, y=907
x=487, y=907
x=487, y=907
x=486, y=907
x=486, y=907
x=485, y=907
x=484, y=907
x=484, y=907
x=483, y=907
x=483, y=907
x=482, y=907
x=482, y=907
x=481, y=907
x=480, y=907
x=480, y=907
x=479, y=907
x=479, y=907
x=478, y=907
x=478, y=907
x=477, y=907
x=476, y=907
x=476, y=907
x=475, y=907
x=475, y=907
x=474, y=907
x=474, y=906
x=473, y=905
x=472, y=905
x=471, y=904
x=470, y=903
x=468, y=901
x=466, y=898
x=464, y=897
x=461, y=893
x=459, y=890
x=456, y=888
x=454, y=885
x=451, y=881
x=448, y=878
x=442, y=871
x=439, y=868
x=438, y=865
x=435, y=861
x=431, y=856
x=425, y=848
x=421, y=844
x=417, y=838
x=415, y=835
x=412, y=831
x=408, y=825
x=404, y=819
x=400, y=815
x=399, y=813
x=394, y=806
x=393, y=803
x=389, y=800
x=381, y=789
x=379, y=785
x=376, y=781
x=373, y=777
x=370, y=772
x=367, y=769
x=364, y=764
x=361, y=761
x=358, y=756
x=355, y=752
x=350, y=745
x=346, y=741
x=343, y=736
x=335, y=726
x=334, y=725
x=331, y=721
x=327, y=716
x=325, y=711
x=321, y=706
x=316, y=701
x=314, y=699
x=310, y=693
x=306, y=689
x=303, y=684
x=301, y=680
x=297, y=676
x=294, y=671
x=290, y=667
x=287, y=663
x=283, y=658
x=279, y=653
x=276, y=649
x=273, y=644
x=271, y=641
x=267, y=636
x=263, y=631
x=260, y=626
x=256, y=621
x=254, y=617
x=250, y=612
x=247, y=607
x=243, y=604
x=241, y=599
x=237, y=594
x=234, y=590
x=230, y=585
x=226, y=580
x=223, y=575
x=217, y=564
x=214, y=559
x=210, y=556
x=207, y=550
x=203, y=545
x=200, y=540
x=197, y=534
x=194, y=530
x=192, y=527
x=190, y=523
x=186, y=518
x=183, y=514
x=179, y=508
x=178, y=504
x=175, y=500
x=171, y=496
x=168, y=491
x=164, y=484
x=160, y=477
x=157, y=472
x=155, y=469
x=149, y=460
x=145, y=455
x=143, y=451
x=140, y=445
x=136, y=440
x=136, y=439
x=133, y=435
x=129, y=430
x=126, y=425
x=122, y=417
x=118, y=412
x=114, y=406
x=110, y=401
x=106, y=394
x=101, y=387
x=98, y=382
x=94, y=377
x=90, y=371
x=87, y=365
x=83, y=359
x=80, y=354
x=79, y=352
x=74, y=345
x=70, y=339
x=66, y=333
x=63, y=328
x=60, y=323
x=55, y=317
x=52, y=311
x=47, y=304
x=45, y=302
x=42, y=297
x=38, y=292
x=34, y=286
x=28, y=276
x=25, y=272
x=21, y=267
x=17, y=262
x=14, y=257
x=11, y=253
x=9, y=248
x=6, y=245
x=3, y=240
x=1, y=235
x=-2, y=232
x=-2, y=228
x=-1, y=225
x=-1, y=223
x=-3, y=218
x=-1, y=215
x=-1, y=213
x=-2, y=210
x=-1, y=209
x=-2, y=206
x=0, y=203
x=-1, y=202
x=-1, y=199
x=0, y=198
x=-1, y=196
x=-1, y=195
x=0, y=193
x=-2, y=190
x=-1, y=188
x=0, y=186
x=-1, y=185
x=0, y=183
x=-1, y=180
x=-1, y=177
x=0, y=175
x=-1, y=174
x=-1, y=172
x=0, y=169
x=0, y=167
x=-1, y=165
x=0, y=164
x=-2, y=161
x=0, y=158
x=0, y=156
x=0, y=155
x=-1, y=154
x=-1, y=150
x=0, y=149
x=-1, y=146
x=0, y=145
x=0, y=143
x=0, y=141
x=-1, y=138
x=-1, y=136
x=0, y=134
x=-1, y=132
x=0, y=130
x=0, y=128
x=0, y=126
x=0, y=124
x=-1, y=122
x=0, y=121
x=-1, y=118
x=0, y=116
x=-1, y=113
x=0, y=111
x=-1, y=109
x=0, y=107
x=0, y=106
x=0, y=104
x=-1, y=103
x=0, y=101
x=-1, y=99
x=0, y=98
x=0, y=96
x=0, y=94
x=0, y=93
x=-1, y=92
x=0, y=90
x=0, y=89
x=-1, y=88
x=0, y=86
x=0, y=85
x=0, y=83
x=0, y=82
x=0, y=81
x=-1, y=79
x=0, y=77
x=0, y=76
x=0, y=75
x=0, y=73
x=-1, y=72
x=0, y=71
x=-1, y=69
x=0, y=68
x=0, y=66
x=0, y=65
x=0, y=63
x=-1, y=62
x=-1, y=61
x=0, y=59
x=-1, y=57
x=0, y=57
x=0, y=55
x=0, y=54
x=-1, y=52
x=0, y=51
x=-1, y=49
x=0, y=48
x=-1, y=47
x=0, y=46
x=0, y=45
x=-1, y=44
x=-1, y=42
x=-1, y=41
x=0, y=40
x=0, y=39
x=-1, y=38
x=-1, y=36
x=0, y=36
x=-1, y=34
x=-1, y=33
x=-1, y=32
x=0, y=31
x=-1, y=30
x=-1, y=28
x=-2, y=26
x=-1, y=25
x=-1, y=24
x=-1, y=24
x=0, y=22
x=-2, y=22
x=0, y=21
x=-1, y=20
x=-1, y=19
x=-1, y=19
x=0, y=18
x=-1, y=17
x=-1, y=16
x=-1, y=16
x=-1, y=14
x=-2, y=12
x=-3, y=12
x=0, y=10
x=-1, y=10
x=-1, y=9
x=-2, y=8
x=-1, y=7
x=-1, y=6
x=-1, y=5
x=-1, y=5
x=-1, y=3
x=-2, y=3
x=-1, y=1
x=-2, y=0
x=-1, y=-1
x=-2, y=-1
x=-3, y=-2
x=-1, y=-1
x=-1, y=-1
x=-2, y=-1
x=-2, y=-2
x=-1, y=-1
x=-2, y=-2
x=-2, y=-1
x=-2, y=-2
x=-1, y=0
x=-2, y=-2
x=-2, y=-1
x=-2, y=-3
x=-3, y=0
x=-2, y=-3
x=-2, y=-1
x=-2, y=-2
x=-3, y=-1
x=-1, y=-2
x=-2, y=-2
x=-3, y=-2
x=-3, y=-2
x=-1, y=-1
x=-3, y=-2
x=-2, y=-1
x=-3, y=-4
x=-3, y=-1
x=-1, y=-1
x=-2, y=-2
x=-2, y=-1
x=-2, y=-2
x=-2, y=-1
x=-2, y=-2
x=-2, y=-1
x=-1, y=-2
x=-1, y=-1
x=-1, y=-2
x=-2, y=-1
x=-1, y=-1
x=-2, y=-1
x=-1, y=-1
x=-2, y=-2
x=-1, y=-1
x=-1, y=-2
x=-1, y=-1
x=-2, y=-2
x=0, y=-2
x=-1, y=0
x=-1, y=-1
x=-1, y=-1
x=0, y=-2
x=-1, y=0
x=-1, y=-1
x=0, y=-2
x=-1, y=0
x=-1, y=-2
x=-1, y=0
x=0, y=-1
x=-3, y=-4
x=0, y=-1
x=-1, y=-1
x=-1, y=-2
x=0, y=0
x=-1, y=-1
x=0, y=-1
x=-1, y=-1
x=-1, y=-2
x=0, y=0
x=-1, y=-1
x=-1, y=-2
x=0, y=0
x=-1, y=-2
x=0, y=-1
x=-1, y=-1
x=-1, y=-2
x=0, y=0
x=-2, y=-2
x=0, y=-1
x=0, y=-2
x=-2, y=-1
x=0, y=-1
x=-1, y=-2
x=-1, y=0
x=0, y=-2
x=-1, y=-1
x=-1, y=-2
x=-1, y=0
x=0, y=-2
x=-1, y=-1
x=-1, y=-1
x=-1, y=-2
x=-1, y=-1
x=-1, y=-2
x=-2, y=-3
x=0, y=0
